Name	Mean	Distribution	Param1	Param2	Param3
P.Recurrence.LR	0.2850000000	5	0.2850000000000	0.0168370440785	0.2850000000000
P.sympt.diag_Age_LGBC	0.9120000000	5	0.9120000000000	0.0721000000000	0.9700000000000
DT.UPTK.CONS	0.7095758540	5	0.7095758539771	0.0447605294396	0.7095758539771
DT.UPTK.50	-0.3646875260	5	-0.3646875259839	0.0006095801725	-0.3646875259839
DT.UPTK.55	-0.2515641128	5	-0.2515641127937	0.0001830346795	-0.2515641127937
DT.UPTK.65	-0.1165338163	5	-0.1165338162560	0.0057329767356	-0.1165338162560
DT.UPTK.70	-0.2357223335	5	-0.2357223335211	0.0064587431667	-0.2357223335211
DT.UPTK.F	0.1397619424	5	0.1397619423752	0.0044367505855	0.1397619423752
DT.UPTK.NRESP	-1.8325814637	5	-1.8325814637483	0.0080481983301	-1.8325814637483
DT.UPTK.INC	1.8794650496	5	1.8794650496472	0.0035350227787	1.8794650496472
DT.UPTK.IMD2	-0.0725706928	5	-0.0725706928348	0.0082744570842	-0.0725706928348
DT.UPTK.IMD3	-0.1508228897	5	-0.1508228897346	0.0088485192232	-0.1508228897346
DT.UPTK.IMD4	-0.2876820725	5	-0.2876820724518	0.0102741426515	-0.2876820724518
DT.UPTK.IMD5	-0.5978370008	5	-0.5978370007556	0.0046809887357	-0.5978370007556
DT.UPTK.ASIAN	-0.9405723042	5	-0.9405723042457	0.0525589487163	-0.9405723042457
Diag.UPTK	1.0000000000	6	1.0000000000000	0.0000000000000	1.0000000000000
Sens.dipstick.LG	0.2300000000	1	13.0000000000000	43.5217391304348	0.2300000000000
Sens.dipstick.St1	0.5000000000	1	22.0000000000000	22.0000000000000	0.5000000000000
Sens.dipstick.St2.4	0.8800000000	1	8.0000000000000	1.0909090909091	0.8800000000000
Spec.dipstick	0.8200000000	1	264.0400000000000	57.9600000000000	0.8200000000000
Sens.cystoscopy.HG	0.9800000000	1	763.0000000000000	15.0000000000000	0.9800000000000
Spec.cystoscopy	0.9400000000	1	716.0000000000000	42.9600000000000	0.9400000000000
Sens.cystoscopy.LG	0.9800000000	1	763.0000000000000	15.0000000000000	0.9800000000000
Mort.TURBT	0.0080000000	5	0.0080000000000	0.0025510672846	0.0080000000000
Utility.age	0.0043200000	5	0.0043200000000	0.0001428597679	0.0043200000000
Disutility.HG.St1.3	-0.0800000000	5	-0.0800000000000	0.0433681438386	-0.0800000000000
Disutility.HG.St4	-0.1800000000	5	-0.1800000000000	0.0612256148310	-0.1800000000000
Disutility.LG	0.0000000000	6	0.0000000000000	0.0000000000000	0.0000000000000
Cost.diag.sympt	610.5800000000	2	100.0000000000000	6.1058000000000	610.5800000000000
Cost.diag.screen	584.8900000000	2	100.0000000000000	5.8489000000000	584.8900000000000
Cost.treat.intercept	2348.8000000000	2	100.0000000000000	23.4880000000000	2348.8000000000000
Cost.treat.past.smoke	-57.2000000000	5	-57.2000000000000	5.7200000000000	-57.2000000000000
Cost.treat.current.smoke	-242.0000000000	5	-242.0000000000000	24.2000000000000	-242.0000000000000
Cost.treat.Y2	-921.4000000000	5	-921.4000000000000	92.1400000000000	-921.4000000000000
Cost.treat.Y3	-1514.0000000000	5	-1514.0000000000000	151.4000000000000	-1514.0000000000000
Cost.treat.stage1	1446.8000000000	5	1446.8000000000000	144.6800000000000	1446.8000000000000
Cost.treat.stage2	1676.1000000000	5	1676.1000000000000	167.6100000000000	1676.1000000000000
Cost.treat.stage3	3956.7000000000	5	3956.7000000000000	395.6700000000000	3956.7000000000000
Cost.treat.stage4	5406.9000000000	5	5406.9000000000000	540.6900000000000	5406.9000000000000
Cost.treat.LG	1217.4000000000	5	1217.4000000000000	121.7400000000000	1217.4000000000000
Cost.surv.Y4.5	401.0000000000	2	100.0000000000000	4.0100000000000	401.0000000000000
Cost.dipstick.invite	8.5700000000	2	100.0000000000000	0.0857000000000	8.5700000000000
Cost.ad.dipstick	1.3000000000	2	100.0000000000000	0.0130000000000	1.3000000000000
Cost.dipstick.positive	11.8000000000	2	100.0000000000000	0.1180000000000	11.8000000000000
Cost.dipstick	3.8600000000	2	100.0000000000000	0.0386000000000	3.8600000000000
					
					
